INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 70	Loss: 0.925231397151947	Top1 accuracy: 79.6875
DEBUG:root:Epoch: 71	Loss: 0.7405202984809875	Top1 accuracy: 82.2265625
DEBUG:root:Epoch: 72	Loss: 0.8484361171722412	Top1 accuracy: 83.984375
DEBUG:root:Epoch: 73	Loss: 0.8807708621025085	Top1 accuracy: 82.8125
DEBUG:root:Epoch: 74	Loss: 0.8863078951835632	Top1 accuracy: 82.8125
DEBUG:root:Epoch: 75	Loss: 0.8780710101127625	Top1 accuracy: 82.8125
DEBUG:root:Epoch: 76	Loss: 0.7957168221473694	Top1 accuracy: 79.8828125
DEBUG:root:Epoch: 77	Loss: 0.8287546634674072	Top1 accuracy: 78.125
DEBUG:root:Epoch: 78	Loss: 0.9838628768920898	Top1 accuracy: 86.9140625
DEBUG:root:Epoch: 79	Loss: 0.7151452898979187	Top1 accuracy: 85.15625
DEBUG:root:Epoch: 80	Loss: 0.8199798464775085	Top1 accuracy: 80.078125
DEBUG:root:Epoch: 81	Loss: 0.880470871925354	Top1 accuracy: 83.0078125
DEBUG:root:Epoch: 82	Loss: 0.9217073917388916	Top1 accuracy: 82.2265625
DEBUG:root:Epoch: 83	Loss: 0.9089109897613525	Top1 accuracy: 82.8125
DEBUG:root:Epoch: 84	Loss: 0.8388078212738037	Top1 accuracy: 87.890625
DEBUG:root:Epoch: 85	Loss: 0.8590651154518127	Top1 accuracy: 81.640625
DEBUG:root:Epoch: 86	Loss: 0.8558072447776794	Top1 accuracy: 79.296875
DEBUG:root:Epoch: 87	Loss: 0.8162014484405518	Top1 accuracy: 83.0078125
DEBUG:root:Epoch: 88	Loss: 0.8463009595870972	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 89	Loss: 0.9778763055801392	Top1 accuracy: 84.5703125
DEBUG:root:Epoch: 90	Loss: 0.7678346037864685	Top1 accuracy: 82.421875
DEBUG:root:Epoch: 91	Loss: 0.8133435249328613	Top1 accuracy: 85.546875
DEBUG:root:Epoch: 92	Loss: 0.9941849112510681	Top1 accuracy: 81.8359375
DEBUG:root:Epoch: 93	Loss: 0.810474157333374	Top1 accuracy: 83.984375
DEBUG:root:Epoch: 94	Loss: 0.8701449036598206	Top1 accuracy: 83.3984375
DEBUG:root:Epoch: 95	Loss: 0.9687132239341736	Top1 accuracy: 83.3984375
DEBUG:root:Epoch: 96	Loss: 0.8136481642723083	Top1 accuracy: 84.375
DEBUG:root:Epoch: 97	Loss: 0.8970853090286255	Top1 accuracy: 83.3984375
DEBUG:root:Epoch: 98	Loss: 0.7962457537651062	Top1 accuracy: 85.3515625
DEBUG:root:Epoch: 99	Loss: 0.7542639374732971	Top1 accuracy: 82.2265625
DEBUG:root:Epoch: 100	Loss: 0.8186057806015015	Top1 accuracy: 84.9609375
DEBUG:root:Epoch: 101	Loss: 0.9278661012649536	Top1 accuracy: 81.0546875
DEBUG:root:Epoch: 102	Loss: 0.7379773855209351	Top1 accuracy: 82.8125
DEBUG:root:Epoch: 103	Loss: 0.8084665536880493	Top1 accuracy: 84.5703125
DEBUG:root:Epoch: 104	Loss: 0.6883893013000488	Top1 accuracy: 85.546875
DEBUG:root:Epoch: 105	Loss: 0.7901350855827332	Top1 accuracy: 85.7421875
DEBUG:root:Epoch: 106	Loss: 0.8025960922241211	Top1 accuracy: 86.1328125
DEBUG:root:Epoch: 107	Loss: 0.7176790237426758	Top1 accuracy: 85.546875
DEBUG:root:Epoch: 108	Loss: 0.8362822532653809	Top1 accuracy: 84.5703125
DEBUG:root:Epoch: 109	Loss: 0.9043147563934326	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 110	Loss: 0.7693630456924438	Top1 accuracy: 86.1328125
DEBUG:root:Epoch: 111	Loss: 0.7720569372177124	Top1 accuracy: 83.3984375
DEBUG:root:Epoch: 112	Loss: 0.7378830313682556	Top1 accuracy: 81.8359375
DEBUG:root:Epoch: 113	Loss: 0.8546926379203796	Top1 accuracy: 81.4453125
DEBUG:root:Epoch: 114	Loss: 0.855869472026825	Top1 accuracy: 83.3984375
DEBUG:root:Epoch: 115	Loss: 0.8609721660614014	Top1 accuracy: 85.9375
DEBUG:root:Epoch: 116	Loss: 0.8502296805381775	Top1 accuracy: 85.15625
DEBUG:root:Epoch: 117	Loss: 0.8418917655944824	Top1 accuracy: 85.15625
DEBUG:root:Epoch: 118	Loss: 0.6727226972579956	Top1 accuracy: 84.5703125
DEBUG:root:Epoch: 119	Loss: 0.7782666087150574	Top1 accuracy: 89.2578125
DEBUG:root:Epoch: 120	Loss: 0.6867983341217041	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 121	Loss: 0.68938148021698	Top1 accuracy: 86.71875
DEBUG:root:Epoch: 122	Loss: 0.9082705974578857	Top1 accuracy: 87.3046875
DEBUG:root:Epoch: 123	Loss: 0.9604010581970215	Top1 accuracy: 85.546875
DEBUG:root:Epoch: 124	Loss: 0.7626532316207886	Top1 accuracy: 86.328125
DEBUG:root:Epoch: 125	Loss: 0.7530297040939331	Top1 accuracy: 87.109375
DEBUG:root:Epoch: 126	Loss: 0.9841426610946655	Top1 accuracy: 88.4765625
DEBUG:root:Epoch: 127	Loss: 0.9549021124839783	Top1 accuracy: 87.6953125
DEBUG:root:Epoch: 128	Loss: 0.6187149882316589	Top1 accuracy: 84.1796875
DEBUG:root:Epoch: 129	Loss: 0.7288785576820374	Top1 accuracy: 88.4765625
DEBUG:root:Epoch: 130	Loss: 0.8159275650978088	Top1 accuracy: 86.328125
DEBUG:root:Epoch: 131	Loss: 0.7754054069519043	Top1 accuracy: 89.2578125
DEBUG:root:Epoch: 132	Loss: 0.7203449606895447	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 133	Loss: 0.749161958694458	Top1 accuracy: 91.015625
DEBUG:root:Epoch: 134	Loss: 0.7988350987434387	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 135	Loss: 0.7585800886154175	Top1 accuracy: 87.6953125
DEBUG:root:Epoch: 136	Loss: 0.7612159252166748	Top1 accuracy: 83.984375
DEBUG:root:Epoch: 137	Loss: 0.7600030303001404	Top1 accuracy: 82.8125
DEBUG:root:Epoch: 138	Loss: 0.6664002537727356	Top1 accuracy: 85.15625
DEBUG:root:Epoch: 139	Loss: 0.8250505328178406	Top1 accuracy: 87.109375
DEBUG:root:Epoch: 140	Loss: 0.687889814376831	Top1 accuracy: 88.0859375
DEBUG:root:Epoch: 141	Loss: 0.6915257573127747	Top1 accuracy: 84.765625
DEBUG:root:Epoch: 142	Loss: 0.8584462404251099	Top1 accuracy: 89.84375
DEBUG:root:Epoch: 143	Loss: 0.9682002663612366	Top1 accuracy: 86.9140625
DEBUG:root:Epoch: 144	Loss: 0.7736785411834717	Top1 accuracy: 84.375
DEBUG:root:Epoch: 145	Loss: 0.7659474015235901	Top1 accuracy: 87.3046875
DEBUG:root:Epoch: 146	Loss: 0.7950826287269592	Top1 accuracy: 86.5234375
DEBUG:root:Epoch: 147	Loss: 0.7315921187400818	Top1 accuracy: 87.5
DEBUG:root:Epoch: 148	Loss: 0.7301721572875977	Top1 accuracy: 86.71875
DEBUG:root:Epoch: 149	Loss: 0.8002654910087585	Top1 accuracy: 85.3515625
DEBUG:root:Epoch: 150	Loss: 0.7766403555870056	Top1 accuracy: 84.375
DEBUG:root:Epoch: 151	Loss: 0.7832275032997131	Top1 accuracy: 87.890625
DEBUG:root:Epoch: 152	Loss: 0.6629878282546997	Top1 accuracy: 88.0859375
DEBUG:root:Epoch: 153	Loss: 0.5986490249633789	Top1 accuracy: 90.0390625
